division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
1303     / 3254,"Ferreira, Katherine L.",Clifton,F,31,229.38,8456,6962     / 13408,VA,1606     / 4814,224.12,USA
408      / 3254,"Whitman, Kimberly G.",Cullman,F,30,210.68,8457,4263     / 13408,AL,495      / 4814,204.57,USA
677      / 3254,"Lieb, Kimberly A.",Cumming,F,30,217.87,8458,5257     / 13408,GA,815      / 4814,212.12,USA
330      / 1311,"Hood, William P.",Winchester,M,54,213.52,8459,4671     / 13408,MA,4059     / 8594,207.73,USA
1028     / 1311,"Ross, John",Ft Worth,M,53,267.12,8460,10894    / 13408,TX,7193     / 8594,261.05,USA
398      / 1311,"Helmer, Richard M.",Short Hills,M,53,216.95,8461,5131     / 13408,NJ,4357     / 8594,212.03,USA
697      / 3254,"Weinberger, Kyley",Valentine,F,25,218.45,8462,5333     / 13408,NE,837      / 4814,212.97,USA
979      / 1311,"Thomas, Norman F. Jr.",Homewood,M,50,259.13,8463,10320    / 13408,AL,6902     / 8594,253.67,USA
80       / 257,"Davis, Bernie E.",Lynchburg,M,63,233.48,8464,7599     / 13408,VA,5667     / 8594,227.37,USA
751      / 1311,"Smith, Dwight",Port Hope,M,50,235.35,8465,7842     / 13408,ON,5772     / 8594,230.13,CAN
293      / 1263,"Werthmuller, Nancy L.",Scranton,F,49,229.85,8466,7036     / 13408,PA,1648     / 4814,224.57,USA
2399     / 3254,"Farber, Dana L.",San Francisco,F,31,259.13,8467,10322    / 13408,CA,3420     / 4814,252.37,USA
539      / 1311,"Kuch, Robert",Valparaiso,M,51,223.40,8468,6068     / 13408,IN,4919     / 8594,217.85,USA
701      / 1311,"Davis, John P.",Farmdale,M,55,231.83,8469,7349     / 13408,OH,5553     / 8594,226.97,USA
135      / 1263,"Hubbard-Kilbride, Patricia E.",Westwood,F,41,219.25,8470,5453     / 13408,NJ,886      / 4814,213.70,USA
950      / 1311,"Kunz, Wayne",Pompano Beach,M,51,254.05,8471,9963     / 13408,FL,6730     / 8594,248.30,USA
416      / 1311,"Lehmann, Dan",Helvetia,M,50,217.68,8472,5234     / 13408,WV,4428     / 8594,211.82,USA
227      / 3254,"Sullivan, Danielle J.",Sayville,F,24,204.17,8473,3335     / 13408,NY,282      / 4814,198.73,USA
522      / 1311,"Maher, Richard T.",Eugene,M,51,222.58,8474,5945     / 13408,OR,4858     / 8594,216.93,USA
2660     / 3254,"Woodruff, Kaye L.",Yardley,F,34,273.83,8475,11317    / 13408,PA,3887     / 4814,263.88,USA
875      / 1311,"Thomas, Rodney E.",Cincinnati,M,52,244.90,8476,9041     / 13408,OH,6269     / 8594,239.08,USA
793      / 3254,"Leib, Amanda",Tuba City,F,35,220.35,8477,5620     / 13408,AZ,951      / 4814,214.90,USA
860      / 3254,"Romines, Brie C.",Iowa City,F,25,221.75,8478,5840     / 13408,IA,1035     / 4814,215.93,USA
491      / 1311,"Woods, Kevin J.",Mechanicsburg,M,51,221.18,8479,5740     / 13408,PA,4736     / 8594,216.02,USA
99       / 1311,"Mort, James R.",Burke,M,54,197.52,8480,2492     / 13408,VA,2328     / 8594,192.50,USA
1761     / 3254,"Eilers, Beth A.",Westampton,F,33,238.00,8482,8208     / 13408,NJ,2300     / 4814,232.37,USA
448      / 1311,"Charyk, Rafael",Toronto,M,51,219.15,8485,5442     / 13408,ON,4560     / 8594,213.92,CAN
27       / 1263,"Coleman, Lisa K.",Sykesville,F,40,196.97,8486,2435     / 13408,MD,154      / 4814,192.03,USA
408      / 1311,"O'Gorman, Joseph E.",Reston,M,52,217.45,8487,5201     / 13408,VA,4407     / 8594,212.68,USA
137      / 1263,"Shillington, Janet R.",London,F,46,219.40,8488,5468     / 13408,ON,892      / 4814,214.12,CAN
633      / 1311,"Kent, Oliver",Ottawa,M,50,228.18,8489,6811     / 13408,ON,5282     / 8594,223.13,CAN
851      / 3254,"Andrews, Nancy K.",Torrance,F,33,221.62,8490,5814     / 13408,CA,1026     / 4814,216.30,USA
421      / 3254,"Wagner, Barbara J.",Mt Pleasant,F,39,211.22,8491,4337     / 13408,SC,512      / 4814,205.18,USA
581      / 1311,"Stephens, Jim E.",Anna,M,54,225.48,8492,6392     / 13408,TX,5085     / 8594,220.25,USA
2390     / 3254,"Stine, Christa L.",Minneapolis,F,27,258.77,8494,10296    / 13408,MN,3406     / 4814,253.27,USA
289      / 3254,"Whittenburg, Julie E.",Austin,F,28,206.55,8495,3685     / 13408,TX,352      / 4814,201.38,USA
99       / 1263,"Buggy, Regina E.",Chalfont,F,41,213.42,8496,4654     / 13408,PA,606      / 4814,207.77,USA
499      / 3254,"Thompson, Whitney L.",Grand Rapids,F,24,213.47,8497,4660     / 13408,MI,608      / 4814,207.48,USA
